year,state,category,jurisdiction,budget_usd,pct_change_yoy,lag_1,rolling_3yr,budget_log
2021,GA,education,state,25938436000,16.81,6.16,9.127,10.4139
2022,GA,education,state,24607081000,-5.13,16.81,5.947,10.3911
2023,GA,education,state,25679987000,4.36,-5.13,5.347,10.4096
2015,GA,environment,state,691184000,9.42,9.42,9.42,8.8396
2016,GA,environment,state,676438000,-2.13,9.42,3.645,8.8302
2017,GA,environment,state,809257000,19.64,-2.13,8.977,8.9081
2018,GA,environment,state,798556000,-1.32,19.64,5.397,8.9023
2019,GA,environment,state,838907000,5.05,-1.32,7.79,8.9237
2020,GA,environment,state,828622000,-1.23,5.05,0.833,8.9184
2021,GA,environment,state,885240000,6.83,-1.23,3.55,8.9471
2022,GA,environment,state,853457000,-3.59,6.83,0.67,8.9312
2023,GA,environment,state,894674000,4.83,-3.59,2.69,8.9517
2015,GA,housing,state,11969354000,4.77,4.77,4.77,10.0781
2016,GA,housing,state,12039309000,0.58,4.77,2.675,10.0806
2017,GA,housing,state,12509762000,3.91,0.58,3.087,10.0972
2018,GA,housing,state,13103954000,4.75,3.91,3.08,10.1174
2019,GA,housing,state,13596249000,3.76,4.75,4.14,10.1334
2020,GA,housing,state,14210753000,4.52,3.76,4.343,10.1526
2021,GA,housing,state,14934312000,5.09,4.52,4.457,10.1742
2022,GA,housing,state,17060991000,14.24,5.09,7.95,10.232
2023,GA,housing,state,20767168000,21.72,14.24,13.683,10.3174
2015,GA,public_safety,state,1569304000,3.54,3.54,3.54,9.1957
2016,GA,public_safety,state,1615827000,2.96,3.54,3.25,9.2084
2017,GA,public_safety,state,1777612000,10.01,2.96,5.503,9.2498
2018,GA,public_safety,state,1815432000,2.13,10.01,5.033,9.259
2019,GA,public_safety,state,1806151000,-0.51,2.13,3.877,9.2568
2020,GA,public_safety,state,2077803000,15.04,-0.51,5.553,9.3176
2021,GA,public_safety,state,2012812000,-3.13,15.04,3.8,9.3038
2022,GA,public_safety,state,2390463000,18.76,-3.13,10.223,9.3785
2023,GA,public_safety,state,2631264000,10.07,18.76,8.567,9.4202
2015,GA,transportation,state,1918428000,-15.47,-15.47,-15.47,9.2829
2016,GA,transportation,state,2772344000,30.0,-15.47,7.265,9.4428
2017,GA,transportation,state,2969100000,7.1,30.0,7.21,9.4726
2018,GA,transportation,state,2806084000,-5.49,7.1,10.537,9.4481
2019,GA,transportation,state,2824989000,0.67,-5.49,0.76,9.451
2020,GA,transportation,state,3313862000,17.31,0.67,4.163,9.5203
2021,GA,transportation,state,3575409000,7.89,17.31,8.623,9.5533
2022,GA,transportation,state,3639120000,1.78,7.89,8.993,9.561
2023,GA,transportation,state,4560070000,25.31,1.78,11.66,9.659
2015,HI,education,state,3179124000,-6.04,-6.04,-6.04,9.5023
2016,HI,education,state,3390132000,6.64,-6.04,0.3,9.5302
2017,HI,education,state,3409675000,0.58,6.64,0.393,9.5327
2018,HI,education,state,3658533000,7.3,0.58,4.84,9.5633
2019,HI,education,state,3973889000,8.62,7.3,5.5,9.5992
2020,HI,education,state,3718401000,-6.43,8.62,3.163,9.5704
2021,HI,education,state,3616893000,-2.73,-6.43,-0.18,9.5583
2022,HI,education,state,5227188000,30.0,-2.73,6.947,9.7183
2023,HI,education,state,5732456000,9.67,30.0,12.313,9.7583
2015,HI,environment,state,210686000,15.21,15.21,15.21,8.3236
2016,HI,environment,state,244412000,16.01,15.21,15.61,8.3881
2017,HI,environment,state,245876000,0.6,16.01,10.607,8.3907
2018,HI,environment,state,229462000,-6.68,0.6,3.31,8.3607
2019,HI,environment,state,210338000,-8.33,-6.68,-4.803,8.3229
2020,HI,environment,state,222184000,5.63,-8.33,-3.127,8.3467
2021,HI,environment,state,215924000,-2.82,5.63,-1.84,8.3343
2022,HI,environment,state,217547000,0.75,-2.82,1.187,8.3376
2023,HI,environment,state,247698000,13.86,0.75,3.93,8.3939
2015,HI,housing,state,2558379000,-3.92,-3.92,-3.92,9.408
2016,HI,housing,state,2745629000,7.32,-3.92,1.7,9.4386
2017,HI,housing,state,2985741000,8.75,7.32,4.05,9.4751
2018,HI,housing,state,2907923000,-2.61,8.75,4.487,9.4636
2019,HI,housing,state,2870285000,-1.29,-2.61,1.617,9.4579
2020,HI,housing,state,2987088000,4.07,-1.29,0.057,9.4752
2021,HI,housing,state,3542444000,18.59,4.07,7.123,9.5493
2022,HI,housing,state,4036710000,13.95,18.59,12.203,9.606
2023,HI,housing,state,4089144000,1.3,13.95,11.28,9.6116
2015,HI,public_safety,state,249602000,-0.64,-0.64,-0.64,8.3972
2016,HI,public_safety,state,254747000,2.06,-0.64,0.71,8.4061
2017,HI,public_safety,state,273377000,7.31,2.06,2.91,8.4368
2018,HI,public_safety,state,272865000,-0.19,7.31,3.06,8.4359
2019,HI,public_safety,state,289292000,6.02,-0.19,4.38,8.4613
2020,HI,public_safety,state,287205000,-0.72,6.02,1.703,8.4582
2021,HI,public_safety,state,283742000,-1.21,-0.72,1.363,8.4529
2022,HI,public_safety,state,294412000,3.76,-1.21,0.61,8.469
2023,HI,public_safety,state,304322000,3.37,3.76,1.973,8.4833
2015,HI,transportation,state,414749000,-9.68,-9.68,-9.68,8.6178
2016,HI,transportation,state,414815000,0.02,-9.68,-4.83,8.6179
2017,HI,transportation,state,316515000,-20.0,0.02,-9.887,8.5004
2018,HI,transportation,state,465298000,30.0,-20.0,3.34,8.6677
2019,HI,transportation,state,556838000,19.67,30.0,9.89,8.7457
2020,HI,transportation,state,533434000,-4.2,19.67,15.157,8.7271
2021,HI,transportation,state,687431000,28.87,-4.2,14.78,8.8372
2022,HI,transportation,state,671511000,-2.32,28.87,7.45,8.8271
2023,HI,transportation,state,698352000,4.0,-2.32,10.183,8.8441
2015,IA,education,state,7129439000,4.79,4.79,4.79,9.8531
2016,IA,education,state,7202769000,1.03,4.79,2.91,9.8575
2017,IA,education,state,7173344000,-0.41,1.03,1.803,9.8557
2018,IA,education,state,7247021000,1.03,-0.41,0.55,9.8602
2019,IA,education,state,7291064000,0.61,1.03,0.41,9.8628
2020,IA,education,state,7440565000,2.05,0.61,1.23,9.8716
2021,IA,education,state,7858964000,5.62,2.05,2.76,9.8954
2022,IA,education,state,8282083000,5.38,5.62,4.35,9.9181
2023,IA,education,state,8499321000,2.62,5.38,4.54,9.9294
2015,IA,environment,state,346756000,0.72,0.72,0.72,8.54
2016,IA,environment,state,321372000,-7.32,0.72,-3.3,8.507
2017,IA,environment,state,457844000,30.0,-7.32,7.8,8.6607
2018,IA,environment,state,458875000,0.23,30.0,7.637,8.6617
2019,IA,environment,state,460726000,0.4,0.23,10.21,8.6634
2020,IA,environment,state,486878000,5.68,0.4,2.103,8.6874
2021,IA,environment,state,480621000,-1.29,5.68,1.597,8.6818
2022,IA,environment,state,512055000,6.54,-1.29,3.643,8.7093
2023,IA,environment,state,533278000,4.14,6.54,3.13,8.727
2015,IA,housing,state,5905922000,12.58,12.58,12.58,9.7713
2016,IA,housing,state,6163944000,4.37,12.58,8.475,9.7899
2017,IA,housing,state,5686717000,-7.74,4.37,3.07,9.7549
2018,IA,housing,state,6260575000,10.09,-7.74,2.24,9.7966
2019,IA,housing,state,6653561000,6.28,10.09,2.877,9.8231
2020,IA,housing,state,7300502000,9.72,6.28,8.697,9.8634
2021,IA,housing,state,7710531000,5.62,9.72,7.207,9.8871
2022,IA,housing,state,8428435000,9.31,5.62,8.217,9.9257
2023,IA,housing,state,9041119000,7.27,9.31,7.4,9.9562
2015,IA,public_safety,state,394965000,-0.26,-0.26,-0.26,8.5966
2016,IA,public_safety,state,397599000,0.67,-0.26,0.205,8.5994
2017,IA,public_safety,state,390097000,-1.89,0.67,-0.493,8.5912
2018,IA,public_safety,state,388369000,-0.44,-1.89,-0.553,8.5892
2019,IA,public_safety,state,404452000,4.14,-0.44,0.603,8.6069
2020,IA,public_safety,state,440188000,8.84,4.14,4.18,8.6436
2021,IA,public_safety,state,462557000,5.08,8.84,6.02,8.6652
2022,IA,public_safety,state,479021000,3.56,5.08,5.827,8.6804
2023,IA,public_safety,state,493111000,2.94,3.56,3.86,8.6929
2015,IA,transportation,state,2161820000,18.45,18.45,18.45,9.3348
2016,IA,transportation,state,2192908000,1.44,18.45,9.945,9.341
2017,IA,transportation,state,2319034000,5.75,1.44,8.547,9.3653
2018,IA,transportation,state,2375686000,2.44,5.75,3.21,9.3758
2019,IA,transportation,state,2347346000,-1.19,2.44,2.333,9.3706
2020,IA,transportation,state,2379696000,1.38,-1.19,0.877,9.3765
2021,IA,transportation,state,2425739000,1.93,1.38,0.707,9.3848
2022,IA,transportation,state,2351078000,-3.08,1.93,0.077,9.3713
2023,IA,transportation,state,2568366000,9.24,-3.08,2.697,9.4097
2015,ID,education,state,2786541000,5.83,5.83,5.83,9.4451
2016,ID,education,state,2950125000,5.87,5.83,5.85,9.4698
2017,ID,education,state,3113154000,5.53,5.87,5.743,9.4932
2018,ID,education,state,3379112000,8.54,5.53,6.647,9.5288
2019,ID,education,state,3501892000,3.63,8.54,5.9,9.5443
2020,ID,education,state,3687202000,5.29,3.63,5.82,9.5667
2021,ID,education,state,3903751000,5.87,5.29,4.93,9.5915
2022,ID,education,state,4206562000,7.76,5.87,6.307,9.6239
2023,ID,education,state,4894796000,16.36,7.76,9.997,9.6897
2015,ID,environment,state,274925000,10.62,10.62,10.62,8.4392
2016,ID,environment,state,267849000,-2.57,10.62,4.025,8.4279
2017,ID,environment,state,282032000,5.3,-2.57,4.45,8.4503
2018,ID,environment,state,301754000,6.99,5.3,3.24,8.4797
2019,ID,environment,state,350982000,16.31,6.99,9.533,8.5453
2020,ID,environment,state,317197000,-9.63,16.31,4.557,8.5013
2021,ID,environment,state,309671000,-2.37,-9.63,1.437,8.4909
2022,ID,environment,state,360295000,16.35,-2.37,1.45,8.5567
2023,ID,environment,state,406189000,12.74,16.35,8.907,8.6087
2015,ID,housing,state,2334833000,3.41,3.41,3.41,9.3683
2016,ID,housing,state,2414088000,3.39,3.41,3.4,9.3828
2017,ID,housing,state,2488760000,3.09,3.39,3.297,9.396
2018,ID,housing,state,2707472000,8.79,3.09,5.09,9.4326
2019,ID,housing,state,2856738000,5.51,8.79,5.797,9.4559
2020,ID,housing,state,3230336000,13.08,5.51,9.127,9.5092
2021,ID,housing,state,3754602000,16.23,13.08,11.607,9.5746
2022,ID,housing,state,4069998000,8.4,16.23,12.57,9.6096
2023,ID,housing,state,3737165000,-8.18,8.4,5.483,9.5725
2015,ID,public_safety,state,315539000,5.16,5.16,5.16,8.4991
2016,ID,public_safety,state,324661000,2.89,5.16,4.025,8.5114
2017,ID,public_safety,state,352766000,8.66,2.89,5.57,8.5475
2018,ID,public_safety,state,361747000,2.55,8.66,4.7,8.5584
2019,ID,public_safety,state,388550000,7.41,2.55,6.207,8.5894
2020,ID,public_safety,state,441557000,13.64,7.41,7.867,8.645
2021,ID,public_safety,state,428733000,-2.9,13.64,6.05,8.6322
2022,ID,public_safety,state,452862000,5.63,-2.9,5.457,8.656
2023,ID,public_safety,state,528764000,16.76,5.63,6.497,8.7233
2015,ID,transportation,state,710683000,2.29,2.29,2.29,8.8517
2016,ID,transportation,state,680153000,-4.3,2.29,-1.005,8.8326
2017,ID,transportation,state,698832000,2.75,-4.3,0.247,8.8444
2018,ID,transportation,state,853042000,22.07,2.75,6.84,8.931
2019,ID,transportation,state,920471000,7.9,22.07,10.907,8.964
2020,ID,transportation,state,969618000,5.34,7.9,11.77,8.9866
2021,ID,transportation,state,997892000,2.92,5.34,5.387,8.9991
2022,ID,transportation,state,997619000,-0.03,2.92,2.743,8.999
2023,ID,transportation,state,1892623000,30.0,-0.03,10.963,9.2771
2015,IL,education,state,18032033000,0.07,0.07,0.07,10.256
2016,IL,education,state,17359089000,-3.73,0.07,-1.83,10.2395
2017,IL,education,state,18534457000,6.77,-3.73,1.037,10.268
2018,IL,education,state,19256659000,3.9,6.77,2.313,10.2846
2019,IL,education,state,18468331000,-4.09,3.9,2.193,10.2664
2020,IL,education,state,24583172000,30.0,-4.09,9.937,10.3906
2021,IL,education,state,26759895000,8.85,30.0,11.587,10.4275
2022,IL,education,state,30535131000,14.11,8.85,17.653,10.4848
2023,IL,education,state,30619923000,0.28,14.11,7.747,10.486
2015,IL,environment,state,574717000,9.79,9.79,9.79,8.7595
2016,IL,environment,state,424123000,-20.0,9.79,-5.105,8.6275
2017,IL,environment,state,507330000,19.62,-20.0,3.137,8.7053
2018,IL,environment,state,487766000,-3.86,19.62,-1.413,8.6882
2019,IL,environment,state,574648000,17.81,-3.86,11.19,8.7594
2020,IL,environment,state,592336000,3.08,17.81,5.677,8.7726
2021,IL,environment,state,564494000,-4.7,3.08,5.397,8.7517
2022,IL,environment,state,569794000,0.94,-4.7,-0.227,8.7557
2023,IL,environment,state,683663000,19.98,0.94,5.407,8.8348
2015,IL,housing,state,24395723000,7.93,7.93,7.93,10.3873
2016,IL,housing,state,23310664000,-4.45,7.93,1.74,10.3676
2017,IL,housing,state,24814900000,6.45,-4.45,3.31,10.3947
2018,IL,housing,state,25294455000,1.93,6.45,1.31,10.403
2019,IL,housing,state,26293783000,3.95,1.93,4.11,10.4199
2020,IL,housing,state,30314321000,15.29,3.95,7.057,10.4816
2021,IL,housing,state,34728688000,14.56,15.29,11.267,10.5407
2022,IL,housing,state,37925486000,9.21,14.56,13.02,10.5789
2023,IL,housing,state,43392783000,14.42,9.21,12.73,10.6374
2015,IL,public_safety,state,1915441000,-1.86,-1.86,-1.86,9.2823
2016,IL,public_safety,state,1468956000,-20.0,-1.86,-10.93,9.167
2017,IL,public_safety,state,1818385000,23.79,-20.0,0.643,9.2597
2018,IL,public_safety,state,2467364000,30.0,23.79,11.263,9.3922
2019,IL,public_safety,state,2206654000,-10.57,30.0,14.407,9.3437
2020,IL,public_safety,state,2213984000,0.33,-10.57,6.587,9.3452
2021,IL,public_safety,state,2288995000,3.39,0.33,-2.283,9.3596
2022,IL,public_safety,state,2403015000,4.98,3.39,2.9,9.3808
2023,IL,public_safety,state,2577859000,7.28,4.98,5.217,9.4113
2015,IL,transportation,state,6023130000,16.76,16.76,16.76,9.7798
2016,IL,transportation,state,6580569000,9.25,16.76,13.005,9.8183
2017,IL,transportation,state,6691288000,1.68,9.25,9.23,9.8255
2018,IL,transportation,state,5152944000,-20.0,1.68,-3.023,9.7121
2019,IL,transportation,state,4912529000,-4.67,-20.0,-7.663,9.6913
2020,IL,transportation,state,6578252000,30.0,-4.67,1.777,9.8181
2021,IL,transportation,state,7441863000,13.13,30.0,12.82,9.8717
2022,IL,transportation,state,6111879000,-17.87,13.13,8.42,9.7862
2023,IL,transportation,state,6575367000,7.58,-17.87,0.947,9.8179
2015,IN,education,state,14801529000,1.37,1.37,1.37,10.1703
2016,IN,education,state,15526354000,4.9,1.37,3.135,10.1911
2017,IN,education,state,15752340000,1.46,4.9,2.577,10.1973
2018,IN,education,state,16263389000,3.24,1.46,3.2,10.2112
2019,IN,education,state,16204219000,-0.36,3.24,1.447,10.2096
2020,IN,education,state,16798880000,3.67,-0.36,2.183,10.2253
2021,IN,education,state,17013044000,1.27,3.67,1.527,10.2308
2022,IN,education,state,18582619000,9.23,1.27,4.723,10.2691
2023,IN,education,state,19594359000,5.44,9.23,5.313,10.2921
2015,IN,environment,state,403523000,0.6,0.6,0.6,8.6059
2016,IN,environment,state,391052000,-3.09,0.6,-1.245,8.5922
2017,IN,environment,state,430235000,10.02,-3.09,2.51,8.6337
2018,IN,environment,state,430294000,0.01,10.02,2.313,8.6338
2019,IN,environment,state,491918000,14.32,0.01,8.117,8.6919
2020,IN,environment,state,523064000,6.33,14.32,6.887,8.7186
2021,IN,environment,state,482451000,-7.76,6.33,4.297,8.6835
2022,IN,environment,state,500367000,3.71,-7.76,0.76,8.6993
2023,IN,environment,state,578834000,15.68,3.71,3.877,8.7626
2015,IN,housing,state,11563940000,8.2,8.2,8.2,10.0631
2016,IN,housing,state,12747775000,10.24,8.2,9.22,10.1054
2017,IN,housing,state,13960934000,9.52,10.24,9.32,10.1449
2018,IN,housing,state,13971440000,0.08,9.52,6.613,10.1452
2019,IN,housing,state,15043164000,7.67,0.08,5.757,10.1773
2020,IN,housing,state,16824507000,11.84,7.67,6.53,10.2259
2021,IN,housing,state,18237702000,8.4,11.84,9.303,10.261
2022,IN,housing,state,19540160000,7.14,8.4,9.127,10.2909
2023,IN,housing,state,20578516000,5.31,7.14,6.95,10.3134
2015,IN,public_safety,state,912875000,-0.71,-0.71,-0.71,8.9604
2016,IN,public_safety,state,935544000,2.48,-0.71,0.885,8.9711
2017,IN,public_safety,state,943042000,0.8,2.48,0.857,8.9745
2018,IN,public_safety,state,990606000,5.04,0.8,2.773,8.9959
2019,IN,public_safety,state,1023299000,3.3,5.04,3.047,9.01
2020,IN,public_safety,state,1109046000,8.38,3.3,5.573,9.0449
2021,IN,public_safety,state,1147451000,3.46,8.38,5.047,9.0597
2022,IN,public_safety,state,1209041000,5.37,3.46,5.737,9.0824
2023,IN,public_safety,state,1297614000,7.33,5.37,5.387,9.1131
2015,IN,transportation,state,2517055000,7.71,7.71,7.71,9.4009
2016,IN,transportation,state,2476990000,-1.59,7.71,3.06,9.3939
2017,IN,transportation,state,2498254000,0.86,-1.59,2.327,9.3976
2018,IN,transportation,state,2736195000,9.52,0.86,2.93,9.4371
2019,IN,transportation,state,3013419000,10.13,9.52,6.837,9.4791
2020,IN,transportation,state,3338670000,10.79,10.13,10.147,9.5236
2021,IN,transportation,state,3815677000,14.29,10.79,11.737,9.5816
2022,IN,transportation,state,3966968000,3.96,14.29,9.68,9.5985
2023,IN,transportation,state,4111597000,3.65,3.96,7.3,9.614
2015,KS,education,state,7010167000,14.13,14.13,14.13,9.8457
2016,KS,education,state,7182004000,2.45,14.13,8.29,9.8562
2017,KS,education,state,7411983000,3.2,2.45,6.593,9.8699
2018,KS,education,state,7491767000,1.08,3.2,2.243,9.8746
2019,KS,education,state,7687475000,2.61,1.08,2.297,9.8858
2020,KS,education,state,8458551000,10.03,2.61,4.573,9.9273
2021,KS,education,state,8054179000,-4.78,10.03,2.62,9.906
2022,KS,education,state,8853413000,9.92,-4.78,5.057,9.9471
2023,KS,education,state,9552864000,7.9,9.92,4.347,9.9801
2015,KS,environment,state,247331000,-0.09,-0.09,-0.09,8.3933
2016,KS,environment,state,238601000,-3.53,-0.09,-1.81,8.3777
2017,KS,environment,state,263747000,10.54,-3.53,2.307,8.4212
2018,KS,environment,state,268744000,1.89,10.54,2.967,8.4293
2019,KS,environment,state,267589000,-0.43,1.89,4.0,8.4275
2020,KS,environment,state,287489000,7.44,-0.43,2.967,8.4586
2021,KS,environment,state,274038000,-4.68,7.44,0.777,8.4378
2022,KS,environment,state,298098000,8.78,-4.68,3.847,8.4744
2023,KS,environment,state,317234000,6.42,8.78,3.507,8.5014
2015,KS,housing,state,3825630000,7.81,7.81,7.81,9.5827
2016,KS,housing,state,3974577000,3.89,7.81,5.85,9.5993
2017,KS,housing,state,4305662000,8.33,3.89,6.677,9.634
2018,KS,housing,state,4413952000,2.52,8.33,4.913,9.6448
2019,KS,housing,state,4735115000,7.28,2.52,6.043,9.6753
2020,KS,housing,state,5150690000,8.78,7.28,6.193,9.7119
2021,KS,housing,state,5419392000,5.22,8.78,7.093,9.734
2022,KS,housing,state,5952459000,9.84,5.22,7.947,9.7747
2023,KS,housing,state,6762523000,13.61,9.84,9.557,9.8301
2015,KS,public_safety,state,463586000,1.84,1.84,1.84,8.6661
2016,KS,public_safety,state,457177000,-1.38,1.84,0.23,8.6601
2017,KS,public_safety,state,462316000,1.12,-1.38,0.527,8.6649
2018,KS,public_safety,state,462570000,0.05,1.12,-0.07,8.6652
2019,KS,public_safety,state,486589000,5.19,0.05,2.12,8.6872
2020,KS,public_safety,state,560930000,15.28,5.19,6.84,8.7489
2021,KS,public_safety,state,569949000,1.61,15.28,7.36,8.7558
2022,KS,public_safety,state,591909000,3.85,1.61,6.913,8.7723
2023,KS,public_safety,state,694348000,17.31,3.85,7.59,8.8416
2015,KS,transportation,state,1297725000,8.02,8.02,8.02,9.1132
2016,KS,transportation,state,1335864000,2.94,8.02,5.48,9.1258
2017,KS,transportation,state,1239281000,-7.23,2.94,1.243,9.0932
2018,KS,transportation,state,987051000,-20.0,-7.23,-8.097,8.9943
2019,KS,transportation,state,1009205000,2.24,-20.0,-8.33,9.004
2020,KS,transportation,state,1119548000,10.93,2.24,-2.277,9.049
2021,KS,transportation,state,1368271000,22.22,10.93,11.797,9.1362
2022,KS,transportation,state,1457590000,6.53,22.22,13.227,9.1636
2023,KS,transportation,state,1987398000,30.0,6.53,19.583,9.2983
2015,KY,education,state,9614803000,3.86,3.86,3.86,9.9829
2016,KY,education,state,10195790000,6.04,3.86,4.95,10.0084
2017,KY,education,state,10390364000,1.91,6.04,3.937,10.0166
2018,KY,education,state,10274643000,-1.11,1.91,2.28,10.0118
2019,KY,education,state,9987635000,-2.79,-1.11,-0.663,9.9995
2020,KY,education,state,9985025000,-0.03,-2.79,-1.31,9.9993
2021,KY,education,state,9971071000,-0.14,-0.03,-0.987,9.9987
2022,KY,education,state,11766120000,18.0,-0.14,5.943,10.0706
2023,KY,education,state,12121515000,3.02,18.0,6.96,10.0836
2015,KY,environment,state,487308000,3.69,3.69,3.69,8.6878
2016,KY,environment,state,491421000,0.84,3.69,2.265,8.6915
2017,KY,environment,state,477540000,-2.82,0.84,0.57,8.679
2018,KY,environment,state,548776000,14.92,-2.82,4.313,8.7394
2019,KY,environment,state,579242000,5.55,14.92,5.883,8.7629
2020,KY,environment,state,597471000,3.15,5.55,7.873,8.7763
2021,KY,environment,state,588222000,-1.55,3.15,2.383,8.7695
2022,KY,environment,state,592443000,0.72,-1.55,0.773,8.7726
2023,KY,environment,state,713067000,20.36,0.72,6.51,8.8531
2015,KY,housing,state,10875235000,30.0,30.0,30.0,10.0364
2016,KY,housing,state,11191780000,2.91,30.0,16.455,10.0489
2017,KY,housing,state,11417475000,2.02,2.91,11.643,10.0576
2018,KY,housing,state,11926347000,4.46,2.02,3.13,10.0765
2019,KY,housing,state,11906570000,-0.17,4.46,2.103,10.0758
2020,KY,housing,state,13518643000,13.54,-0.17,5.943,10.1309
2021,KY,housing,state,16194371000,19.79,13.54,11.053,10.2094
2022,KY,housing,state,16831604000,3.93,19.79,12.42,10.2261
2023,KY,housing,state,18777179000,11.56,3.93,11.76,10.2736
2015,KY,public_safety,state,738353000,2.49,2.49,2.49,8.8683
2016,KY,public_safety,state,767049000,3.89,2.49,3.19,8.8848
2017,KY,public_safety,state,808828000,5.45,3.89,3.943,8.9079
2018,KY,public_safety,state,825547000,2.07,5.45,3.803,8.9167
2019,KY,public_safety,state,860964000,4.29,2.07,3.937,8.935
2020,KY,public_safety,state,1079698000,25.41,4.29,10.59,9.0333
2021,KY,public_safety,state,1062457000,-1.6,25.41,9.367,9.0263
2022,KY,public_safety,state,1105188000,4.02,-1.6,9.277,9.0434
2023,KY,public_safety,state,1318780000,19.33,4.02,7.25,9.1202
2015,KY,transportation,state,2532215000,7.78,7.78,7.78,9.4035
2016,KY,transportation,state,2342521000,-7.49,7.78,0.145,9.3697
2017,KY,transportation,state,1991599000,-14.98,-7.49,-4.897,9.2992
2018,KY,transportation,state,1883701000,-5.42,-14.98,-9.297,9.275
2019,KY,transportation,state,2004597000,6.42,-5.42,-4.66,9.302
2020,KY,transportation,state,2220590000,10.77,6.42,3.923,9.3465
2021,KY,transportation,state,2100778000,-5.4,10.77,3.93,9.3224
2022,KY,transportation,state,2441895000,16.24,-5.4,7.203,9.3877
2023,KY,transportation,state,2692982000,10.28,16.24,7.04,9.4302
2015,LA,education,state,8897506000,0.8,0.8,0.8,9.9493
2016,LA,education,state,9499549000,6.77,0.8,3.785,9.9777
2017,LA,education,state,9299171000,-2.11,6.77,1.82,9.9684
2018,LA,education,state,9276658000,-0.24,-2.11,1.473,9.9674
2019,LA,education,state,9771114000,5.33,-0.24,0.993,9.9899
2020,LA,education,state,10338104000,5.8,5.33,3.63,10.0144
2021,LA,education,state,10802383000,4.49,5.8,5.207,10.0335
2022,LA,education,state,12446921000,15.22,4.49,8.503,10.0951
2023,LA,education,state,13203152000,6.08,15.22,8.597,10.1207
2015,LA,environment,state,1203877000,1.71,1.71,1.71,9.0806
2016,LA,environment,state,1105131000,-8.2,1.71,-3.245,9.0434
2017,LA,environment,state,1143554000,3.48,-8.2,-1.003,9.0583
2018,LA,environment,state,1171859000,2.48,3.48,-0.747,9.0689
2019,LA,environment,state,1116667000,-4.71,2.48,0.417,9.0479
2020,LA,environment,state,1226726000,9.86,-4.71,2.543,9.0887
2021,LA,environment,state,1325196000,8.03,9.86,4.393,9.1223
2022,LA,environment,state,1388875000,4.81,8.03,7.567,9.1427
2023,LA,environment,state,1451287000,4.49,4.81,5.777,9.1618
2015,LA,housing,state,8399355000,4.55,4.55,4.55,9.9242
2016,LA,housing,state,8890121000,5.84,4.55,5.195,9.9489
2017,LA,housing,state,11226836000,26.28,5.84,12.223,10.0503
2018,LA,housing,state,12158245000,8.3,26.28,13.473,10.0849
2019,LA,housing,state,12569790000,3.38,8.3,12.653,10.0993
2020,LA,housing,state,13630539000,8.44,3.38,6.707,10.1345
2021,LA,housing,state,14650317000,7.48,8.44,6.433,10.1658
2022,LA,housing,state,15789913000,7.78,7.48,7.9,10.1984
2023,LA,housing,state,17575698000,11.31,7.78,8.857,10.2449
2015,LA,public_safety,state,998664000,1.53,1.53,1.53,8.9994
2016,LA,public_safety,state,992754000,-0.59,1.53,0.47,8.9968
2017,LA,public_safety,state,1026389000,3.39,-0.59,1.443,9.0113
2018,LA,public_safety,state,1070867000,4.33,3.39,2.377,9.0297
2019,LA,public_safety,state,1078974000,0.76,4.33,2.827,9.033
2020,LA,public_safety,state,1319201000,22.26,0.76,9.117,9.1203
2021,LA,public_safety,state,1324425000,0.4,22.26,7.807,9.122
2022,LA,public_safety,state,1380122000,4.21,0.4,8.957,9.1399
2023,LA,public_safety,state,1449611000,5.03,4.21,3.213,9.1613
2015,LA,transportation,state,1560873000,4.27,4.27,4.27,9.1934
2016,LA,transportation,state,1616211000,3.55,4.27,3.91,9.2085
2017,LA,transportation,state,1470644000,-9.01,3.55,-0.397,9.1675
2018,LA,transportation,state,1393048000,-5.28,-9.01,-3.58,9.144
2019,LA,transportation,state,1445964000,3.8,-5.28,-3.497,9.1602
2020,LA,transportation,state,1626507000,12.49,3.8,3.67,9.2113
2021,LA,transportation,state,1748523000,7.5,12.49,7.93,9.2427
2022,LA,transportation,state,1807901000,3.4,7.5,7.797,9.2572
2023,LA,transportation,state,2063749000,14.15,3.4,8.35,9.3147
2015,MA,education,state,12323712000,30.0,30.0,30.0,10.0907
2016,MA,education,state,12593196000,2.19,30.0,16.095,10.1001
2017,MA,education,state,13183331000,4.69,2.19,12.293,10.12
2018,MA,education,state,13317694000,1.02,4.69,2.633,10.1244
2019,MA,education,state,13405242000,0.66,1.02,2.123,10.1273
2020,MA,education,state,13936333000,3.96,0.66,1.88,10.1441
2021,MA,education,state,14506460000,4.09,3.96,2.903,10.1616
2022,MA,education,state,16594050000,14.39,4.09,7.48,10.22
2023,MA,education,state,17882518000,7.76,14.39,8.747,10.2524
2015,MA,environment,state,505632000,8.3,8.3,8.3,8.7038
2016,MA,environment,state,533973000,5.61,8.3,6.955,8.7275
2017,MA,environment,state,459833000,-13.88,5.61,0.01,8.6626
2018,MA,environment,state,483452000,5.14,-13.88,-1.043,8.6844
2019,MA,environment,state,512615000,6.03,5.14,-0.903,8.7098
2020,MA,environment,state,476751000,-7.0,6.03,1.39,8.6783
2021,MA,environment,state,498385000,4.54,-7.0,1.19,8.6976
2022,MA,environment,state,592375000,18.86,4.54,5.467,8.7726
